analyte,method,outcome,subset,n_patients,n_events,anchor,sensitivity,specificity,ppv,n_flagged
ALP,NORMA_q_age_set,prolonged_los,pop_normal,22953.0,18586.0,rate_of:PerRI,0.7163456365005918,0.3187542935653767,0.8173614095401804,16289.0
ALT,PerRI,prolonged_los,pop_normal,19333.0,15525.0,native,0.5854428341384863,0.3886554621848739,0.7960935447140229,11417.0
ALT,PerRI,prolonged_los,pop_normal,19333.0,15525.0,rate_of:PerRI,0.5854428341384863,0.3886554621848739,0.7960935447140229,11417.0
ALT,NORMA_q_age_set,prolonged_los,pop_normal,19333.0,15525.0,native,0.3247665056360708,0.7124474789915967,0.8215740589864755,6137.0
ALT,NORMA_q_age_set,prolonged_los,pop_normal,19333.0,15525.0,rate_of:PerRI,0.597487922705314,0.4377626050420168,0.8124726285363931,11417.0
AST,PerRI,prolonged_los,pop_normal,21577.0,17296.0,native,0.6286424606845513,0.3452464377481897,0.7950424100614215,13676.0
AST,PerRI,prolonged_los,pop_normal,21577.0,17296.0,rate_of:PerRI,0.6286424606845513,0.3452464377481897,0.7950424100614215,13676.0
AST,NORMA_q_age_set,prolonged_los,pop_normal,21577.0,17296.0,native,0.2807585568917669,0.7372109320252278,0.8119043638187594,5981.0
AST,NORMA_q_age_set,prolonged_los,pop_normal,21577.0,17296.0,rate_of:PerRI,0.640263644773358,0.3921980845596823,0.8097396899678269,13676.0
BUN,PerRI,prolonged_los,pop_normal,22198.0,17863.0,native,0.5406706600235123,0.4371395617070358,0.7983137708712184,12098.0
BUN,PerRI,prolonged_los,pop_normal,22198.0,17863.0,rate_of:PerRI,0.5411185131276941,0.4371395617070358,0.7984470510490665,12106.0
BUN,NORMA_q_age_set,prolonged_los,pop_normal,22198.0,17863.0,native,0.2334994121928007,0.7953863898500577,0.824634242783709,5058.0
BUN,NORMA_q_age_set,prolonged_los,pop_normal,22198.0,17863.0,rate_of:PerRI,0.5536584000447853,0.4906574394463668,0.8174904942965779,12098.0
CA,PerRI,prolonged_los,pop_normal,20856.0,16162.0,native,0.4744462319019923,0.6276097145291862,0.8143585386576041,9416.0
CA,PerRI,prolonged_los,pop_normal,20856.0,16162.0,rate_of:PerRI,0.4744462319019923,0.6276097145291862,0.8143585386576041,9416.0
CA,NORMA_q_age_set,prolonged_los,pop_normal,20856.0,16162.0,native,0.1988615270387328,0.8287175117170856,0.7999004479840717,4018.0
CA,NORMA_q_age_set,prolonged_los,pop_normal,20856.0,16162.0,rate_of:PerRI,0.4637421111248608,0.5907541542394547,0.7959855564995751,9416.0
CL,PerRI,prolonged_los,pop_normal,24134.0,19450.0,native,0.4500771208226221,0.4912467976088813,0.7860285534704139,11137.0
CL,PerRI,prolonged_los,pop_normal,24134.0,19450.0,rate_of:PerRI,0.4500771208226221,0.4912467976088813,0.7860285534704139,11137.0
CL,NORMA_q_age_set,prolonged_los,pop_normal,24134.0,19450.0,native,0.1849357326478149,0.8509820666097353,0.8374854481955762,4295.0
CL,NORMA_q_age_set,prolonged_los,pop_normal,24134.0,19450.0,rate_of:PerRI,0.4662210796915167,0.5582835183603757,0.8142228607344887,11137.0
CO2,PerRI,prolonged_los,pop_normal,9282.0,7954.0,native,0.4465677646467186,0.5293674698795181,0.8503710797222888,4177.0
CO2,PerRI,prolonged_los,pop_normal,9282.0,7954.0,rate_of:PerRI,0.4465677646467186,0.5293674698795181,0.8503710797222888,4177.0
CO2,NORMA_q_age_set,prolonged_los,pop_normal,9282.0,7954.0,native,0.1728689967312044,0.8373493975903614,0.8642363293526084,1591.0
CO2,NORMA_q_age_set,prolonged_los,pop_normal,9282.0,7954.0,rate_of:PerRI,0.4572542117173749,0.5933734939759037,0.8707206128800574,4177.0
CRE,PerRI,prolonged_los,pop_normal,33350.0,24090.0,native,0.3107098381070984,0.7047516198704104,0.7324591447304042,10219.0
CRE,PerRI,prolonged_los,pop_normal,33350.0,24090.0,rate_of:PerRI,0.3107098381070984,0.7047516198704104,0.7324591447304042,10219.0
CRE,NORMA_q_age_set,prolonged_los,pop_normal,33350.0,24090.0,native,0.1987131589871316,0.8217062634989201,0.7435538987263125,6438.0
CRE,NORMA_q_age_set,prolonged_los,pop_normal,33350.0,24090.0,rate_of:PerRI,0.315483603154836,0.717170626349892,0.7437126920442313,10219.0
GLU,PerRI,prolonged_los,pop_normal,15536.0,11607.0,native,0.42620832256397,0.5635021634003563,0.7425697988592015,6662.0
GLU,PerRI,prolonged_los,pop_normal,15536.0,11607.0,rate_of:PerRI,0.42620832256397,0.5635021634003563,0.7425697988592015,6662.0
