subset,analyte,method,outcome,exposure,encoding,n,n_events,level,HR,HR_lower,HR_upper,p_value,p_fdr
pop_normal,WBC,NORMA_334f7e21,mortality,first,category,11986,366,high,1.666,1.116,2.487,0.01258,0.0536256112425842
pop_normal,ALB,PerRI,unplanned_icu,first,category,3356,21,high,1.661,0.635,4.347,0.30116,0.5593690479442508
pop_normal,ALB,PerRI,unplanned_icu,first,binary,3356,21,abnormal,1.1,0.424,2.851,0.8453,0.9961476935041722
pop_normal,WBC,NORMA_q_age_set_co,mortality,first,category,11986,366,high,1.777,1.089,2.9,0.02127,0.0748162118004115
pop_normal,WBC,NORMA_q_age_set_co,mortality,first,category,11986,366,low,0.859,0.534,1.383,0.53118,0.6913461615412236
pop_normal,WBC,NORMA_q_age_set_co,mortality,first,z,11986,366,z,1.408,1.087,1.823,0.00955,0.0394056723945836
pop_normal,WBC,NORMA_q_age_set_co,mortality,first,binary,11986,366,abnormal,1.148,0.809,1.628,0.44008,0.6263250050009302
pop_normal,WBC,NORMA_q_age,mortality,first,category,11986,366,high,1.894,1.203,2.979,0.00576,0.0274747400808327
pop_normal,WBC,NORMA_q_age,mortality,first,category,11986,366,low,1.074,0.571,2.019,0.82498,0.8863121366780531
pop_normal,WBC,NORMA_q_age,mortality,first,z,11986,366,z,1.488,1.127,1.966,0.00513,0.0236081053069113
pop_normal,ALB,PerRI,unplanned_icu,first,z,3356,21,z,0.957,0.686,1.336,0.79738,0.9444882956960874
pop_normal,ALP,NORMA_q_age_set_co,unplanned_icu,first,binary,6966,50,abnormal,2.891,1.403,5.959,0.00401,0.0606444269866415
pop_normal,ALP,NORMA_q_age_set_co,unplanned_icu,first,z,6966,50,z,1.103,0.76,1.601,0.60544,0.9081607651891408
pop_normal,ALP,NORMA_q_age_set_co,unplanned_icu,first,category,6966,50,low,3.293,1.177,9.217,0.02323,0.1446083509349023
pop_normal,AST,Gaussian_eb,unplanned_icu,first,category,5640,74,high,1.458,0.699,3.038,0.31473,0.5664069823668162
pop_normal,AST,Gaussian_eb,unplanned_icu,first,z,5640,74,z,0.949,0.611,1.475,0.81569,0.9444882956960874
pop_normal,AST,Gaussian_eb,unplanned_icu,first,binary,5640,74,abnormal,0.927,0.445,1.932,0.83968,0.9961476935041722
pop_normal,AST,Gaussian_trunc,unplanned_icu,first,category,5640,74,high,1.178,0.641,2.163,0.59733,0.8264677893416553
pop_normal,AST,Gaussian_trunc,unplanned_icu,first,category,5640,74,low,1.015,0.482,2.138,0.96824,0.9926511464126606
pop_normal,AST,Gaussian_trunc,unplanned_icu,first,z,5640,74,z,1.074,0.844,1.365,0.56276,0.9081607651891408
pop_normal,AST,Gaussian_trunc,unplanned_icu,first,binary,5640,74,abnormal,1.11,0.669,1.842,0.68578,0.9532357666558928
pop_normal,AST,Gaussian_mle,unplanned_icu,first,category,5640,74,high,1.681,0.837,3.379,0.14449,0.3887986855014869
pop_normal,AST,NORMA_q_age_set,unplanned_icu,first,binary,5640,74,abnormal,0.918,0.37,2.277,0.85306,0.9961476935041722
pop_normal,AST,Gaussian_mle,unplanned_icu,first,z,5640,74,z,0.98,0.633,1.519,0.9288,0.9884528983858352
pop_normal,AST,Cohen_m4,unplanned_icu,first,category,5640,74,high,3.271,1.619,6.607,0.00095,0.0230315852150835
pop_normal,AST,Cohen_m4,unplanned_icu,first,category,5640,74,low,0.446,0.192,1.036,0.06042,0.2332209938251219
pop_normal,AST,Cohen_m4,unplanned_icu,first,z,5640,74,z,0.783,0.466,1.316,0.35586,0.8339891844181837
pop_normal,AST,Cohen_m4,unplanned_icu,first,binary,5640,74,abnormal,0.931,0.527,1.644,0.80513,0.9961476935041722
pop_normal,AST,Cohen_m3,unplanned_icu,first,category,5640,74,high,1.874,0.847,4.145,0.12083,0.3643764354474547
pop_normal,AST,Cohen_m3,unplanned_icu,first,category,5640,74,low,0.364,0.202,0.657,0.00079,0.0218573382585831
pop_normal,AST,Cohen_m3,unplanned_icu,first,z,5640,74,z,0.607,0.398,0.926,0.02044,0.1926774422918703
pop_normal,AST,Cohen_m3,unplanned_icu,first,binary,5640,74,abnormal,0.499,0.301,0.827,0.00705,0.0860717263483718
pop_normal,AST,Gaussian_mle,unplanned_icu,first,binary,5640,74,abnormal,1.173,0.602,2.286,0.63928,0.9493454280484742
pop_normal,AST,Cohen_m2,unplanned_icu,first,category,5640,74,high,2.224,1.29,3.835,0.00402,0.0425444448658396
pop_normal,AST,NORMA_q_age_set,unplanned_icu,first,z,5640,74,z,0.992,0.627,1.571,0.97434,0.9884528983858352
pop_normal,AST,NORMA_334f7e21,unplanned_icu,first,binary,5640,74,abnormal,1.132,0.491,2.611,0.77061,0.9961476935041722
pop_normal,BUN,Cohen_m3,unplanned_icu,first,z,5407,36,z,1.288,0.643,2.581,0.47527,0.8679051039432472
pop_normal,BUN,Cohen_m3,unplanned_icu,first,binary,5407,36,abnormal,1.036,0.453,2.367,0.93398,0.9998156588672964
pop_normal,BUN,Cohen_m2,unplanned_icu,first,category,5407,36,high,2.272,0.681,7.579,0.18191,0.417953736828566
pop_normal,BUN,Cohen_m2,unplanned_icu,first,category,5407,36,low,0.91,0.318,2.6,0.85952,0.9548185683674528
pop_normal,BUN,Cohen_m2,unplanned_icu,first,z,5407,36,z,1.385,0.743,2.583,0.30531,0.8281097618226981
pop_normal,BUN,Cohen_m2,unplanned_icu,first,binary,5407,36,abnormal,1.226,0.536,2.806,0.62955,0.9493454280484742
pop_normal,BUN,PerRI,unplanned_icu,first,category,5405,36,high,0.973,0.435,2.175,0.9473,0.9926511464126606
pop_normal,BUN,PerRI,unplanned_icu,first,category,5405,36,low,0.422,0.127,1.406,0.16009,0.3961137621074208
pop_normal,AST,NORMA_q_age_set,unplanned_icu,first,category,5640,74,high,1.474,0.594,3.657,0.40265,0.6585791984976044
pop_normal,BUN,PerRI,unplanned_icu,first,z,5405,36,z,0.968,0.849,1.104,0.62927,0.9368096007000372
pop_normal,AST,NORMA_q_age_set_co,unplanned_icu,first,category,5640,74,high,1.694,0.682,4.205,0.2559,0.5092570398339452
pop_normal,AST,NORMA_q_age_set_co,unplanned_icu,first,z,5640,74,z,0.923,0.535,1.593,0.77381,0.9444882956960874
pop_normal,AST,NORMA_q_age_set_co,unplanned_icu,first,binary,5640,74,abnormal,0.87,0.351,2.161,0.7649,0.9961476935041722
pop_normal,AST,NORMA_q_age,unplanned_icu,first,category,5640,74,high,2.121,0.972,4.628,0.05881,0.2316264669432811
pop_normal,AST,NORMA_q_age,unplanned_icu,first,z,5640,74,z,1.074,0.736,1.567,0.71288,0.9444882956960874
pop_normal,AST,NORMA_q_age,unplanned_icu,first,binary,5640,74,abnormal,1.113,0.511,2.428,0.78703,0.9961476935041722
pop_normal,AST,NORMA_334f7e21,unplanned_icu,first,category,5640,74,high,1.941,0.841,4.48,0.12017,0.3643764354474547
pop_normal,AST,NORMA_334f7e21,unplanned_icu,first,z,5640,74,z,1.108,0.778,1.579,0.5682,0.9081607651891408
pop_normal,BUN,PerRI,unplanned_icu,first,binary,5405,36,abnormal,0.717,0.352,1.463,0.36093,0.7271005653789248
pop_normal,GLU,NORMA_334f7e21,unplanned_icu,first,category,2493,85,high,2.265,0.821,6.248,0.11412,0.3552553932789783
pop_normal,AST,Cohen_m2,unplanned_icu,first,category,5640,74,low,1.012,0.457,2.244,0.97591,0.9926511464126606
pop_normal,AST,Cohen_m2,unplanned_icu,first,binary,5640,74,abnormal,1.667,1.024,2.714,0.03973,0.2036551994466254
pop_normal,ALT,Gaussian_trunc,unplanned_icu,first,z,3989,55,z,0.983,0.763,1.266,0.89384,0.983220017500705
pop_normal,ALT,Gaussian_trunc,unplanned_icu,first,binary,3989,55,abnormal,0.789,0.416,1.5,0.47032,0.8275200378536584
pop_normal,ALT,Gaussian_mle,unplanned_icu,first,category,3989,55,high,1.136,0.485,2.66,0.76875,0.9158583919857668
pop_normal,ALT,Gaussian_mle,unplanned_icu,first,z,3989,55,z,1.044,0.801,1.359,0.75169,0.9444882956960874
pop_normal,ALT,Gaussian_mle,unplanned_icu,first,binary,3989,55,abnormal,0.715,0.306,1.671,0.43872,0.791973438271802
pop_normal,ALT,Cohen_m4,unplanned_icu,first,category,3989,55,low,2.445,1.308,4.568,0.00507,0.0425444448658396
pop_normal,ALT,Cohen_m4,unplanned_icu,first,z,3989,55,z,1.7,1.097,2.633,0.01748,0.1885380474347633
pop_normal,ALT,Cohen_m4,unplanned_icu,first,binary,3989,55,abnormal,2.229,1.194,4.162,0.01186,0.1099117056427355
pop_normal,ALT,Gaussian_trunc,unplanned_icu,first,category,3989,55,high,0.99,0.51,1.92,0.97523,0.9926511464126606
pop_normal,ALT,Cohen_m3,unplanned_icu,first,category,3989,55,low,1.057,0.581,1.922,0.85646,0.9548185683674528
pop_normal,ALT,Cohen_m3,unplanned_icu,first,binary,3989,55,abnormal,1.004,0.552,1.825,0.98944,0.9998156588672964
pop_normal,ALT,Cohen_m2,unplanned_icu,first,z,3989,55,z,0.642,0.315,1.307,0.22188,0.8027655931077989
pop_normal,ALT,Cohen_m2,unplanned_icu,first,binary,3989,55,abnormal,0.536,0.193,1.487,0.23101,0.6058578274479353
pop_normal,ALT,PerRI,unplanned_icu,first,category,3984,55,high,0.973,0.52,1.822,0.93246,0.983412068744106
pop_normal,ALT,PerRI,unplanned_icu,first,category,3984,55,low,1.054,0.486,2.288,0.89355,0.963438397653788
pop_normal,ALT,PerRI,unplanned_icu,first,z,3984,55,z,0.954,0.859,1.059,0.37331,0.8339891844181837
pop_normal,ALT,PerRI,unplanned_icu,first,binary,3984,55,abnormal,1.001,0.583,1.721,0.99642,0.9998156588672964
pop_normal,ALP,NORMA_q_age_set_co,unplanned_icu,first,category,6966,50,high,2.632,1.035,6.694,0.04221,0.1952648604187471
pop_normal,ALT,Cohen_m3,unplanned_icu,first,z,3989,55,z,1.096,0.678,1.771,0.70852,0.9444882956960874
pop_normal,AST,Cohen_m2,unplanned_icu,first,z,5640,74,z,1.65,1.087,2.505,0.01866,0.1885380474347633
pop_normal,ALT,Gaussian_eb,unplanned_icu,first,binary,3989,55,abnormal,0.611,0.243,1.534,0.29425,0.6705094741971552
pop_normal,ALT,Gaussian_eb,unplanned_icu,first,category,3989,55,high,1.006,0.4,2.529,0.98958,0.9926511464126606
pop_normal,AST,PerRI,unplanned_icu,first,category,5636,74,high,1.165,0.689,1.968,0.56927,0.8138451846866747
pop_normal,AST,PerRI,unplanned_icu,first,category,5636,74,low,0.592,0.267,1.314,0.19764,0.4384513025538368
pop_normal,AST,PerRI,unplanned_icu,first,z,5636,74,z,1.003,0.917,1.097,0.94649,0.9884528983858352
pop_normal,AST,PerRI,unplanned_icu,first,binary,5636,74,abnormal,0.932,0.58,1.499,0.77275,0.9961476935041722
pop_normal,ALT,NORMA_q_age_set_co,unplanned_icu,first,category,3989,55,high,2.774,1.1,6.995,0.03058,0.1618212304215665
pop_normal,ALT,NORMA_q_age_set_co,unplanned_icu,first,category,3989,55,low,1.43,0.445,4.6,0.54829,0.8016693295610526
pop_normal,ALT,NORMA_q_age_set_co,unplanned_icu,first,z,3989,55,z,1.158,0.86,1.56,0.33353,0.8339891844181837
pop_normal,ALT,NORMA_q_age_set_co,unplanned_icu,first,binary,3989,55,abnormal,2.051,0.968,4.344,0.06082,0.2589506138371286
