method,state,analyte,n,coverage95,width_rel,inside_pop,n_analytes
Gaussian_mle,all,PLT,148098,0.649,0.5934,0.9185,
Gaussian_mle,all,TBIL,110474,0.8031,0.8755,0.8673,
Gaussian_mle,all,TP,118553,0.6446,0.8784,0.8493,
Gaussian_mle,all,WBC,151713,0.6904,0.8901,0.9335,
Gaussian_trunc,high,A1C,648,0.0123,1.0,1.0,
Gaussian_trunc,high,ALP,9519,0.3066,1.1854,0.6659,
Gaussian_trunc,high,ALT,10982,0.0852,0.9708,0.8649,
Gaussian_trunc,high,AST,5199,0.2756,1.3413,0.6082,
Gaussian_trunc,high,BUN,31191,0.3034,1.181,0.6792,
Gaussian_trunc,high,CL,26846,0.3615,1.4967,0.615,
Gaussian_trunc,high,CO2,13786,0.4376,1.7081,0.5347,
Gaussian_trunc,high,CRE,14630,0.128,0.7381,1.0,
Gaussian_trunc,high,GLU,244965,0.0632,1.0,1.0,
Gaussian_trunc,high,K,4836,0.4361,3.6772,0.0916,
Gaussian_trunc,high,TBIL,13358,0.2578,1.3328,0.5921,
Gaussian_trunc,high,WBC,22773,0.2101,1.0,0.8762,
Gaussian_trunc,low,ALB,56437,0.1872,0.8931,0.6913,
Gaussian_trunc,low,ALT,18925,0.4598,1.0,0.6831,
Gaussian_trunc,low,BUN,15111,0.3998,1.4529,0.3484,
Gaussian_trunc,low,CA,57160,0.2783,1.0404,0.5039,
Gaussian_trunc,low,CL,28764,0.328,1.152,0.7766,
Gaussian_trunc,low,CO2,21619,0.315,1.1909,0.7173,
Gaussian_trunc,low,CRE,33298,0.3651,0.9005,0.6386,
Gaussian_trunc,low,HCT,176113,0.1195,1.0,1.0,
Gaussian_trunc,low,HGB,138000,0.0801,1.0,1.0,
Gaussian_trunc,low,K,28049,0.5419,1.8137,0.2414,
Gaussian_trunc,low,NA,43343,0.3059,2.6877,0.0,
Gaussian_trunc,low,PLT,33282,0.3033,1.0,0.6848,
Gaussian_trunc,low,TP,38707,0.2834,1.1324,0.5506,
Gaussian_trunc,low,WBC,24402,0.5423,1.2858,0.6232,
Gaussian_trunc,normal,A1C,104,0.8077,1.0,1.0,
Gaussian_trunc,normal,ALB,70958,0.6466,0.6921,0.7509,
Gaussian_trunc,normal,ALP,96930,0.7269,0.635,0.9834,
Gaussian_trunc,normal,ALT,69062,0.7137,0.9418,0.7965,
Gaussian_trunc,normal,AST,93762,0.7358,1.0277,0.771,
Gaussian_trunc,normal,BUN,77473,0.6817,1.3046,0.6118,
Gaussian_trunc,normal,CA,75102,0.5701,1.1603,0.518,
Gaussian_trunc,normal,CL,91483,0.7806,1.2155,0.7456,
Gaussian_trunc,normal,CO2,37116,0.7683,1.2945,0.6735,
Gaussian_trunc,normal,CRE,141775,0.7183,0.6284,0.9181,
Gaussian_trunc,normal,GLU,54817,0.9002,0.9083,0.9583,
Gaussian_trunc,normal,HCT,31085,0.588,1.0,0.5976,
Gaussian_trunc,normal,HGB,25521,0.8242,0.6909,0.9782,
Gaussian_trunc,normal,K,179723,0.6729,1.411,0.5047,
Gaussian_trunc,normal,NA,154253,0.4832,2.1127,0.0772,
Gaussian_trunc,normal,PLT,114816,0.6575,0.7354,0.8064,
Gaussian_trunc,normal,TBIL,97116,0.6065,1.2969,0.518,
Gaussian_trunc,normal,TP,79846,0.6167,1.245,0.555,
Gaussian_trunc,normal,WBC,104538,0.8059,1.0369,0.8186,
Gaussian_trunc,all,A1C,752,0.1223,1.0,1.0,
Gaussian_trunc,all,ALB,127395,0.4431,0.7525,0.7313,
Gaussian_trunc,all,ALP,106449,0.6893,0.6721,0.9606,
Gaussian_trunc,all,ALT,98969,0.5954,0.9714,0.782,
Gaussian_trunc,all,AST,98961,0.7116,1.0442,0.762,
Gaussian_trunc,all,BUN,123775,0.552,1.2877,0.6067,
Gaussian_trunc,all,CA,132262,0.4439,1.11,0.5137,
Gaussian_trunc,all,CL,147093,0.6156,1.2442,0.736,
Gaussian_trunc,all,CO2,72521,0.5703,1.3179,0.6599,
