analyte,direction,target_sensitivity,method,n_strata,n,n_events,prevalence,flag_rate,sensitivity,specificity,ppv,rr,tp,fp,tn,fn,n_population,n_events_population,auc,auc_lo,auc_hi,auprc,auprc_norm,auc_within_position,n_endpoints,age_band,sex,tp_norm,fp_norm,pop_pos,pop_neg,gap_hours,horizon_hours,min_normal_frac
ALT,high,0.2,NORMA_q_age_set,14.0,4112,276,0.0669559826410415,0.0475307980834085,0.1956521739130435,0.960636079249218,0.2755842530879318,4.115901853989203,54.0,151.0,3685.0,222.0,4856.0,326.0,0.7415200767707908,0.7113461392732062,0.7716940142683754,0.1740813554121555,2.5935599038216792,0.565716781759535,,all,all,,,,,24.0,168.0,0.8
ALT,high,0.2,NORMA_334f7e21,14.0,4112,276,0.0669559826410415,0.0496243327042826,0.1920289855072463,0.958029197080292,0.259793623783403,3.880065881135454,53.0,161.0,3675.0,223.0,4856.0,326.0,0.745143265176588,0.7151735462278177,0.7751129841253583,0.1777760315265077,2.648605223322463,0.5729284849256315,,all,all,,,,,24.0,168.0,0.8
ALT,high,0.2,NORMA_q_age,14.0,4112,276,0.0669559826410415,0.0516885001988008,0.1956521739130435,0.9559436913451512,0.2534169000475915,3.784828331266344,54.0,169.0,3667.0,222.0,4856.0,326.0,0.7431229314956703,0.712981917952905,0.7732639450384357,0.175552505287238,2.615477904859141,0.571626152438386,,all,all,,,,,24.0,168.0,0.8
ALT,high,0.2,NORMA_q_set,14.0,4112,276,0.0669559826410415,0.0477509845691215,0.1920289855072463,0.9603753910323254,0.2699857466272132,4.032287123237917,53.0,152.0,3684.0,223.0,4856.0,326.0,0.7435309652264587,0.7128569749824255,0.7742049554704918,0.1798747419187282,2.679872966557284,0.5608807500977002,,all,all,,,,,24.0,168.0,0.8
ALT,high,0.2,NORMA_q_co,14.0,4112,276,0.0669559826410415,0.0443574916150613,0.1920289855072463,0.963764337851929,0.2906405378590294,4.340770255246429,53.0,139.0,3697.0,223.0,4856.0,326.0,0.734926365023953,0.7032015271621516,0.7666512028857545,0.1808133944882583,2.69385752947724,0.5364146041859192,,all,all,,,,,24.0,168.0,0.8
ALT,high,0.2,NORMA_q_age_set_co,14.0,4112,276,0.0669559826410415,0.0529199159077302,0.1956521739130435,0.9546402502606882,0.2475200359601488,3.696757574108519,54.0,174.0,3662.0,222.0,4856.0,326.0,0.7421000136011243,0.7115151522087435,0.7726848749935051,0.174978758776387,2.606929913364143,0.5574300249061142,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,PopRI,14.0,3828,272,0.0706757594544327,0.0428268845637139,0.2095588235294117,0.968785151856018,0.3413723014963249,4.83011861678572,57.0,111.0,3445.0,215.0,4856.0,345.0,0.8328942797591478,0.8114638151092989,0.8543247444089966,0.2460868880015848,3.4633110561399514,0.6301079128082203,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,PerRI,14.0,3828,272,0.0706757594544327,0.1351945898185077,0.2058823529411764,0.8714848143982002,0.1066112031655331,1.5084550061930266,56.0,457.0,3099.0,216.0,4856.0,345.0,0.6860939257592801,0.6596646966809143,0.7125231548376458,0.1082221803637595,1.5230680383546744,0.524466227701095,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,Cohen_m2,14.0,3828,272,0.0706757594544327,0.1007529201648866,0.2095588235294117,0.908042744656918,0.1497215587043957,2.1184287209665813,57.0,327.0,3229.0,215.0,4856.0,345.0,0.7222786260173361,0.6978566365838145,0.7467006154508576,0.1311647920782848,1.8459515591017432,0.5484515709566956,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,Cohen_m3,14.0,3828,272,0.0706757594544327,0.1248310617386879,0.1985294117647058,0.874578177727784,0.1100818283649868,1.5575613083572264,54.0,446.0,3110.0,218.0,4856.0,345.0,0.678498023225038,0.6520902156463971,0.704905830803679,0.1106154913109833,1.5567503703619274,0.4939860898156426,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,Cohen_m4,14.0,3828,272,0.0706757594544327,0.1408077116441592,0.1985294117647058,0.860236220472441,0.0975914696182574,1.3808336885460464,54.0,497.0,3059.0,218.0,4856.0,345.0,0.6547508767286443,0.6280139939830076,0.681487759474281,0.0971821976467085,1.3676965168808837,0.4550385949199756,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,Gaussian_mle,14.0,3828,272,0.0706757594544327,0.1147039112335049,0.2058823529411764,0.8922947131608548,0.1234041620336998,1.7460606435119117,56.0,383.0,3173.0,216.0,4856.0,345.0,0.7303583835108847,0.7056766994070327,0.7550400676147366,0.1303922028791144,1.835078502284008,0.5431663630430119,,all,all,,,,,24.0,168.0,0.8
