outcome,analyte,method,n,n_flagged,flag_rate,logrank_p,rr_24h,rr_72h,rr_168h,rr_720h,landmark_hours,anchor,target_sensitivity
mortality,CL,NORMA_334f7e21,12993,2392,0.1840991303009312,0.0386118634327924,1.2067328370024626,1.7482272587980736,1.2687640676874672,1.1927827421515944,24.0,sensitivity,0.25
mortality,CL,NORMA_334f7e21,12993,704,0.0541830216270299,0.3234678437206081,1.6368228778909653,1.9674736497445109,1.4792528335544284,1.2176488169013058,24.0,soc_rate,0.25
mortality,CL,NORMA_q_age,12993,2730,0.2101131378434541,0.3777505172607227,0.7867496254054513,1.4000172785348748,0.9526904983887456,1.2115700258838926,24.0,sensitivity,0.25
mortality,CL,NORMA_q_age,12993,704,0.0541830216270299,0.73778007555827,0.0,1.527246326178639,1.2177903445391844,0.9882897035531236,24.0,soc_rate,0.25
mortality,CL,NORMA_q_age_set_co,12993,2393,0.1841760948202878,0.3488495411275552,0.9272944273378722,1.1116035613996096,0.967250419991866,0.8660136813537697,24.0,sensitivity,0.25
mortality,CL,NORMA_q_age_set_co,12993,704,0.0541830216270299,0.5102077347861755,0.0,1.044936167437594,1.5723929350573085,1.1209602511975498,24.0,soc_rate,0.25
mortality,CL,StandardOfCare,12993,704,0.0541830216270299,2.5482860560926663e-26,9.498847197661163,5.683192394144426,4.933891432396981,2.619818293900124,24.0,sensitivity,0.25
mortality,CL,StandardOfCare,12993,704,0.0541830216270299,2.5482860560926663e-26,9.498847197661163,5.683192394144426,4.933891432396981,2.619818293900124,24.0,soc_rate,0.25
mortality,CL,PopRI,9364,1783,0.1904100811618966,0.3216276141026526,1.0999854946839225,1.1410067602022127,1.168892766855289,1.0976878419405436,72.0,sensitivity,0.25
mortality,CL,Gaussian_eb,12993,689,0.0530285538366812,0.5550400581595221,3.6537480473898007,1.4764812425636986,1.1033359555586018,0.990602652176054,24.0,soc_rate,0.25
mortality,CL,PopRI,3653,901,0.2466465918423213,0.1113134472779683,0.8278723868496481,1.20763648073837,1.4198181705844666,1.3122883030946786,168.0,soc_rate,0.25
mortality,CL,PopRI,3653,637,0.1743772241992882,0.2461554721122792,0.9841501537017324,1.69605624192717,1.4790359288339088,1.2758061108051848,168.0,sensitivity,0.25
mortality,CA,Gaussian_eb,4574,804,0.1757761259291648,0.4833272432813216,0.837865849403406,0.9110335028942346,0.7661138012780591,1.156749035370335,72.0,soc_rate,0.25
mortality,BUN,Cohen_m3,2891,627,0.2168799723279142,0.0507775968446604,0.0,0.3896103538703404,0.4864956094034315,0.7268638339324356,168.0,soc_rate,0.25
mortality,BUN,Cohen_m4,2891,736,0.2545831892078865,0.3353667018281474,0.0,0.9069730905874568,0.8972053560266858,0.6999347900415136,168.0,sensitivity,0.25
mortality,BUN,Cohen_m4,2891,627,0.2168799723279142,0.3178799310685924,0.0,0.8899867207488619,0.6568297628309915,0.6912985901417097,168.0,soc_rate,0.25
mortality,BUN,Gaussian_mle,2891,647,0.2237979937737807,0.4597887775694633,0.7124327115533962,1.6357761468201826,1.337706703831372,1.018969176952298,168.0,sensitivity,0.25
mortality,BUN,Gaussian_mle,2891,621,0.2148045658941542,0.5318543027384028,0.3311379247541375,1.03093656791816,0.9971355569756204,1.0403959719886544,168.0,soc_rate,0.25
mortality,BUN,Gaussian_trunc,2891,818,0.2829470771359391,0.3634098492000873,0.1946142299473361,0.5812413991730412,0.9997876792147544,0.9001446371143672,168.0,sensitivity,0.25
mortality,BUN,Gaussian_trunc,2891,621,0.2148045658941542,0.4068720613039197,0.2832795290494077,0.8299825779856687,1.0666507235816027,1.1356630843815632,168.0,soc_rate,0.25
