analyte,outcome,method,anchor,n_patients,n_events,n_nonevents,meas_flag_rate,alerts_per_100_patient_days,nonevents_flagged_frac,events_flagged_frac,events_flagged_before_frac,median_lead_h,iqr25_lead_h,iqr75_lead_h,median_lead_h_early,iqr25_lead_h_early,iqr75_lead_h_early,median_lead_tests_early,median_lead_tests,median_tests_per_day,detected_0h_before,detected_6h_before,detected_12h_before,detected_24h_before,detected_48h_before,detected_72h_before,median_lead_h_low_intensity,detected_24h_low_intensity,median_lead_h_mid_intensity,detected_24h_mid_intensity,median_lead_h_high_intensity,detected_24h_high_intensity,lm_n,lm_events,lm_tp,lm_fp,rr_landmark,direction,window_hours,age_band,n_early,n_24h,n_nonevents_flagged,target_rate
ALB,pop_abnormal,Gaussian_trunc,soc_rate,8741.0,2726,6015,0.2139130434782608,9.601828581792,0.1797173732335827,0.2993396918561996,0.0546588407923697,0.0,0.0,0.0,47.83333333333326,24.0,72.0,0.0,0.0,0.4995663486556809,0.2993396918561996,0.0528246515040352,0.0517241379310344,0.041085840058694,0.0256786500366837,0.0139398385913426,0.0,0.025,0.0,0.0443645083932853,0.0,0.0471246006389776,6639.0,624.0,147.0,1055.0,1.3011607257135545,any,168.0,all,,,,all
ALB,pop_abnormal,Gaussian_trunc,native,8741.0,2726,6015,0.4298023715415019,19.292365853364046,0.3524522028262676,0.7307410124724871,0.1019809244314013,0.0,0.0,0.0,48.0,24.0,72.0,0.0,0.0,0.4995663486556809,0.7307410124724871,0.099046221570066,0.0975788701393983,0.0777696258253851,0.0513573000733675,0.0260454878943506,0.0,0.053125,0.0,0.092326139088729,0.0,0.0806709265175718,6639.0,624.0,269.0,2017.0,1.2519706070395047,any,168.0,all,,,,all
ALB,pop_abnormal,Gaussian_trunc,soc_rate,8741.0,2726,6015,0.215494071146245,9.672795533616036,0.1610972568578553,0.5095377842993397,0.0498899486426999,0.0,0.0,0.0,47.75,23.916666666666718,72.0,0.0,0.0,0.4995663486556809,0.5095377842993397,0.0491562729273661,0.0476889214966984,0.0366837857666911,0.0227439471753484,0.0128393250183418,0.0,0.0234375,0.0,0.0467625899280575,0.0,0.0367412140575079,6639.0,624.0,125.0,865.0,1.3433614996114998,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Gaussian_trunc,early_sens,8741.0,2726,6015,0.217391304347826,9.757955875804878,0.1630922693266833,0.5121056493030081,0.0502567865003668,0.0,0.0,0.0,47.75,23.916666666666742,72.0,0.0,0.0,0.4995663486556809,0.5121056493030081,0.049523110785033,0.0480557593543653,0.037050623624358,0.0227439471753484,0.0128393250183418,0.0,0.0234375,0.0,0.0479616306954436,0.0,0.0367412140575079,6639.0,624.0,126.0,876.0,1.3378915246430216,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Gaussian_trunc,native,8741.0,2726,6015,0.1558893280632411,6.997341449849898,0.0919368246051537,0.4490095377842993,0.0300807043286867,0.0,0.0,0.0,47.416666666666686,23.83333333333335,71.97916666666663,0.0,0.0,0.4995663486556809,0.4490095377842993,0.0293470286133528,0.0293470286133528,0.0209097578870139,0.0139398385913426,0.0077035950110051,0.0,0.0140625,0.0,0.02757793764988,0.0,0.0199680511182108,6639.0,624.0,75.0,477.0,1.445573787625418,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Gaussian_eb,soc_rate,8741.0,2726,6015,0.215494071146245,9.672795533616036,0.0650041562759767,0.8121790168745414,0.0194424064563462,0.0,0.0,0.0,47.5,24.0,50.25,0.0,0.0,0.4995663486556809,0.8121790168745414,0.0190755685986793,0.0187087307410124,0.0150403521643433,0.0088041085840058,0.004035216434336,0.0,0.00625,0.0,0.014388489208633,0.0,0.0199680511182108,6639.0,624.0,50.0,321.0,1.4338845117147003,any,168.0,all,,,,all
ALB,pop_abnormal,Gaussian_eb,native,8741.0,2726,6015,0.2403162055335968,10.786976677253392,0.0867830423940149,0.8617021276595744,0.0278796771826852,0.0,0.0,0.0,47.75,23.95833333333394,68.56249999999955,0.0,0.0,0.4995663486556809,0.8617021276595744,0.0275128393250183,0.0271460014673514,0.0209097578870139,0.0128393250183418,0.0069699192956713,0.0,0.009375,0.0,0.026378896882494,0.0,0.0231629392971246,6639.0,624.0,70.0,425.0,1.5045648795648796,any,168.0,all,,,,all
ALB,pop_abnormal,Gaussian_eb,soc_rate,8741.0,2726,6015,0.215494071146245,9.672795533616036,0.0603491271820448,0.8235509904622157,0.0190755685986793,0.0,0.0,0.0,47.45833333333576,24.0,50.333333333333485,0.0,0.0,0.4995663486556809,0.8235509904622157,0.0187087307410124,0.0183418928833455,0.0146735143066764,0.0088041085840058,0.004035216434336,0.0,0.00625,0.0,0.0155875299760191,0.0,0.0183706070287539,6639.0,624.0,49.0,310.0,1.452177523034069,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Gaussian_eb,early_sens,8741.0,2726,6015,0.3001581027667984,13.473075803793137,0.1456359102244389,0.9600146735143068,0.0502567865003668,0.0,0.0,0.0,47.58333333333212,23.91666666666669,70.58333333332848,0.0,0.0,0.4995663486556809,0.9600146735143068,0.0498899486426999,0.0484225972120322,0.0374174614820249,0.0220102714600146,0.0110051357300073,0.0,0.0171875,0.0,0.0491606714628297,0.0,0.0399361022364217,6639.0,624.0,124.0,737.0,1.5322746359331727,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Gaussian_eb,native,8741.0,2726,6015,0.2339920948616601,10.50310886995725,0.0761429758935993,0.8617021276595744,0.0267791636096845,0.0,0.0,0.0,47.5,23.83333333333576,67.41666666666606,0.0,0.0,0.4995663486556809,0.8617021276595744,0.0264123257520176,0.0260454878943506,0.0198092443140132,0.012105649303008,0.0066030814380044,0.0,0.009375,0.0,0.0251798561151079,0.0,0.0215654952076677,6639.0,624.0,67.0,387.0,1.570135123686886,toward_bound,168.0,all,,,,all
