method,state,analyte,n,coverage95,width_rel,inside_pop,n_analytes
PerRI,all,CRE,233867,0.7892,0.855,0.4963,
PerRI,all,DBIL,3730,0.766,2.3324,0.1341,
PerRI,all,GLU,1054644,0.7964,3.2913,0.1432,
PerRI,all,HCT,269390,0.7034,0.9459,0.0,
PerRI,all,HDL,31,0.3871,0.1571,0.0,
PerRI,all,HGB,275041,0.7357,0.7347,0.0,
PerRI,all,K,324223,0.7899,0.9243,0.7318,
PerRI,all,MCH,203328,0.7208,0.3506,0.9006,
PerRI,all,MCHC,216234,0.7244,0.6556,0.461,
PerRI,all,MCV,213107,0.6402,0.2219,1.0,
PerRI,all,NA,290647,0.6763,0.9218,0.6007,
PerRI,all,PLT,219693,0.5006,0.282,0.7437,
PerRI,all,RBC,225485,0.7765,0.8047,0.0,
PerRI,all,RDW,199814,0.6334,0.243,0.0682,
PerRI,all,TBIL,45074,0.7695,0.7312,0.7019,
PerRI,all,TC,99,0.4343,0.3876,0.2901,
PerRI,all,TGL,853,0.5381,0.5015,0.7279,
PerRI,all,TP,56198,0.6958,0.7007,0.3149,
PerRI,all,WBC,214523,0.6714,0.9867,0.4889,
Cohen_m2,high,ALP,14524,0.0634,0.6929,0.9981,
Cohen_m2,high,ALT,13268,0.2984,0.8699,0.4589,
Cohen_m2,high,AST,13031,0.0059,0.5821,1.0,
Cohen_m2,high,BUN,126256,0.121,0.8981,0.7009,
Cohen_m2,high,CA,1045,0.1158,0.7434,0.8344,
Cohen_m2,high,CL,68884,0.1633,0.6058,0.6373,
Cohen_m2,high,CO2,116368,0.0872,0.8476,0.6925,
Cohen_m2,high,CRE,62706,0.4266,1.0975,0.4454,
Cohen_m2,high,DBIL,1815,0.1102,1.1306,0.4526,
Cohen_m2,high,GLU,847762,0.0325,0.8699,0.9319,
Cohen_m2,high,HCT,154,0.5455,1.0928,0.8262,
Cohen_m2,high,HGB,60,0.5,0.9986,0.7238,
Cohen_m2,high,K,10722,0.2105,0.7483,0.9115,
Cohen_m2,high,MCH,21229,0.7347,0.9858,0.6033,
Cohen_m2,high,MCHC,378,0.0079,0.5892,1.0,
Cohen_m2,high,MCV,19266,0.9045,0.8183,0.5503,
Cohen_m2,high,NA,22064,0.0136,0.6247,0.9755,
Cohen_m2,high,PLT,3045,0.065,0.6252,1.0,
Cohen_m2,high,RBC,296,0.6486,1.1173,0.7126,
Cohen_m2,high,RDW,143680,0.2326,0.4764,0.6961,
Cohen_m2,high,TBIL,6673,0.4804,1.0812,0.3487,
Cohen_m2,high,TGL,339,0.0973,0.8135,1.0,
Cohen_m2,high,TP,879,0.1001,0.6773,0.9499,
Cohen_m2,high,WBC,76280,0.4458,0.787,0.2958,
Cohen_m2,low,ALB,69030,0.2269,0.5157,0.4099,
Cohen_m2,low,ALP,186,0.8333,0.6929,0.7034,
Cohen_m2,low,ALT,2970,0.8212,0.8699,0.6817,
Cohen_m2,low,AST,1266,0.3981,0.5821,0.8809,
Cohen_m2,low,BUN,19698,0.4317,0.8981,0.6638,
Cohen_m2,low,CA,138820,0.5182,0.7434,0.5507,
Cohen_m2,low,CL,43667,0.1192,0.6058,0.7279,
Cohen_m2,low,CO2,75898,0.2264,0.8476,0.6819,
Cohen_m2,low,CRE,44621,0.7443,1.0975,0.6488,
Cohen_m2,low,DBIL,381,0.4173,1.1306,0.5572,
Cohen_m2,low,GLU,19941,0.0099,0.8699,0.9246,
Cohen_m2,low,HCT,256361,0.0907,1.3659,0.5204,
Cohen_m2,low,HDL,29,0.6207,0.7548,0.5441,
Cohen_m2,low,HGB,260837,0.2672,0.9986,0.2358,
Cohen_m2,low,K,42680,0.22,0.7483,0.9178,
Cohen_m2,low,MCH,38019,0.6327,0.9858,0.6176,
Cohen_m2,low,MCHC,124070,0.5304,0.5892,0.2589,
Cohen_m2,low,MCV,5859,0.9464,0.8183,0.4329,
Cohen_m2,low,NA,72940,0.1208,0.6247,0.8465,
Cohen_m2,low,PLT,59891,0.6383,0.6252,0.6047,
Cohen_m2,low,RBC,206724,0.4119,0.9577,0.1856,
Cohen_m2,low,TBIL,4092,0.9448,1.0812,0.5569,
Cohen_m2,low,TC,45,0.7111,0.8516,0.6874,
Cohen_m2,low,TP,31767,0.22,0.6773,0.7231,
Cohen_m2,low,WBC,13297,0.4342,0.787,0.6395,
Cohen_m2,normal,ALB,5734,0.7895,0.5157,0.4135,
Cohen_m2,normal,ALP,33825,0.9146,0.6929,0.9927,
Cohen_m2,normal,ALT,28557,0.7752,0.8699,0.7888,
Cohen_m2,normal,AST,31768,0.7227,0.5821,1.0,
Cohen_m2,normal,BUN,101350,0.7635,0.8981,0.7627,
Cohen_m2,normal,CA,112686,0.8316,0.7434,0.586,
Cohen_m2,normal,CL,149433,0.5985,0.6058,0.8427,
Cohen_m2,normal,CO2,191242,0.6258,0.8476,0.7329,
Cohen_m2,normal,CRE,126540,0.8453,1.0975,0.7066,
Cohen_m2,normal,DBIL,1534,0.736,1.1306,0.6174,
Cohen_m2,normal,GLU,186941,0.8536,0.8699,0.9227,
Cohen_m2,normal,HCT,12875,0.952,1.0928,0.7618,
Cohen_m2,normal,HGB,14144,0.9334,0.9986,0.6067,
Cohen_m2,normal,K,270821,0.8211,0.7483,0.9443,
Cohen_m2,normal,MCH,144080,0.9793,0.9858,0.7634,
Cohen_m2,normal,MCHC,91786,0.7086,0.5892,0.7171,
Cohen_m2,normal,MCV,187982,0.9873,0.8183,0.871,
Cohen_m2,normal,NA,195643,0.709,0.6247,0.9657,
Cohen_m2,normal,PLT,156757,0.7611,0.6252,0.8203,
Cohen_m2,normal,RBC,18465,0.9142,1.1173,0.5754,
Cohen_m2,normal,RDW,56134,0.9764,0.4764,0.7817,
Cohen_m2,normal,TBIL,34309,0.8455,1.0812,0.6837,
Cohen_m2,normal,TC,51,0.8431,0.8516,0.6874,
Cohen_m2,normal,TGL,508,0.8346,0.8135,0.94,
Cohen_m2,normal,TP,23552,0.8335,0.6773,0.7939,
Cohen_m2,normal,WBC,124946,0.5857,0.787,0.6514,
Cohen_m2,all,ALB,74764,0.27,0.5157,0.4099,
Cohen_m2,all,ALP,48535,0.6596,0.6929,0.9927,
Cohen_m2,all,ALT,44795,0.637,0.8699,0.7072,
Cohen_m2,all,AST,46065,0.511,0.5821,1.0,
Cohen_m2,all,BUN,247304,0.4091,0.8981,0.7181,
Cohen_m2,all,CA,252551,0.6564,0.7434,0.5507,
Cohen_m2,all,CL,261984,0.4042,0.6058,0.7279,
Cohen_m2,all,CO2,383508,0.3833,0.8476,0.7234,
Cohen_m2,all,CRE,233867,0.7138,1.0975,0.5862,
Cohen_m2,all,DBIL,3730,0.3989,1.1306,0.5549,
Cohen_m2,all,GLU,1054644,0.1776,0.8699,0.9281,
Cohen_m2,all,HCT,269390,0.1321,1.3659,0.5204,
Cohen_m2,all,HDL,31,0.6452,0.7548,0.5441,
Cohen_m2,all,HGB,275041,0.3015,0.9986,0.2454,
Cohen_m2,all,K,324223,0.7218,0.7483,0.9417,
Cohen_m2,all,MCH,203328,0.889,0.9858,0.6845,
Cohen_m2,all,MCHC,216234,0.6051,0.5892,0.3672,
Cohen_m2,all,MCV,213107,0.9787,0.8183,0.8482,
Cohen_m2,all,NA,290647,0.5086,0.6247,0.9204,
Cohen_m2,all,PLT,219693,0.718,0.6252,0.7266,
Cohen_m2,all,RBC,225485,0.4533,0.9577,0.3556,
Cohen_m2,all,RDW,199814,0.4415,0.4764,0.7001,
Cohen_m2,all,TBIL,45074,0.8005,1.0812,0.6183,
Cohen_m2,all,TC,99,0.7778,0.8516,0.6874,
Cohen_m2,all,TGL,853,0.5428,0.8135,0.9641,
Cohen_m2,all,TP,56198,0.4752,0.6773,0.7517,
Cohen_m2,all,WBC,214523,0.5266,0.787,0.3697,
Cohen_m3,high,ALP,14524,0.4288,0.7405,0.5479,
Cohen_m3,high,ALT,13268,0.3942,0.8239,0.3595,
Cohen_m3,high,AST,13031,0.0379,0.6499,1.0,
Cohen_m3,high,BUN,126256,0.0353,0.7878,0.8987,
Cohen_m3,high,CA,1045,0.0689,0.8697,0.8866,
Cohen_m3,high,CL,68884,0.0001,0.5042,1.0,
Cohen_m3,high,CO2,116368,0.0929,0.7375,0.8279,
Cohen_m3,high,CRE,62706,0.4325,1.065,0.3577,
Cohen_m3,high,DBIL,1815,0.1625,1.4485,0.5465,
Cohen_m3,high,GLU,847762,0.0517,0.5614,0.7742,
Cohen_m3,high,HCT,154,0.3506,0.9586,0.892,
Cohen_m3,high,HGB,60,0.4167,1.0624,0.7778,
Cohen_m3,high,K,10722,0.2701,0.9294,0.8774,
Cohen_m3,high,MCH,21229,0.7401,0.8037,0.5154,
Cohen_m3,high,MCHC,378,0.0529,0.8278,0.9678,
Cohen_m3,high,MCV,19266,0.7506,0.757,0.6377,
Cohen_m3,high,NA,22064,0.0173,0.6635,1.0,
Cohen_m3,high,PLT,3045,0.1146,0.6458,1.0,
Cohen_m3,high,RBC,296,0.723,1.0743,0.7313,
Cohen_m3,high,RDW,143680,0.4159,0.3979,0.2333,
Cohen_m3,high,TBIL,6673,0.1388,0.9237,0.8312,
Cohen_m3,high,TGL,339,0.1298,0.6261,1.0,
Cohen_m3,high,TP,879,0.0125,0.6689,1.0,
Cohen_m3,high,WBC,76280,0.2569,0.909,0.7454,
Cohen_m3,low,ALB,69030,0.0663,0.3985,0.6439,
Cohen_m3,low,ALP,186,0.1075,0.7405,1.0,
Cohen_m3,low,ALT,2970,0.1963,0.8239,0.9303,
