analyte,direction,target_sensitivity,method,n_strata,n,n_events,prevalence,flag_rate,sensitivity,specificity,ppv,rr,tp,fp,tn,fn,n_population,n_events_population,auc,auc_lo,auc_hi,auprc,auprc_norm,auc_within_position,n_endpoints,age_band,sex,tp_norm,fp_norm,pop_pos,pop_neg,gap_hours,horizon_hours,min_normal_frac
ALP,high,0.2,Gaussian_trunc,14.0,5318,352,0.0661741085769354,0.0773152342619725,0.1960227272727272,0.9343536045106726,0.1666450737144502,2.5182821090926395,69.0,326.0,4640.0,283.0,6226.0,412.0,0.6872448559294109,0.6571991814014615,0.7172905304573602,0.1403647599492049,2.1206244130962277,0.5288961738397,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,Gaussian_eb,14.0,5318,352,0.0661741085769354,0.0721674048043907,0.1960227272727272,0.9395892066049134,0.1785321634851486,2.697915654996446,69.0,300.0,4666.0,283.0,6226.0,412.0,0.7130126908431882,0.684683388624771,0.7413419930616054,0.1517511818331815,2.2926499573547146,0.5002958843739783,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,NORMA_q_age_set,14.0,5318,352,0.0661741085769354,0.0669610881832861,0.1960227272727272,0.9418042690294,0.1924132845268241,2.90768230452429,69.0,289.0,4677.0,283.0,6226.0,412.0,0.660360908724783,0.6293841300561319,0.6913376873934342,0.1280116821360277,1.9339946749982837,0.4526432786703244,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,NORMA_334f7e21,14.0,5318,352,0.0661741085769354,0.0635725694619254,0.1960227272727272,0.945630285944422,0.2026692175868862,3.062666380329985,69.0,270.0,4696.0,283.0,6226.0,412.0,0.6682469199648519,0.6370566041079573,0.6994372358217464,0.1348872203396985,2.037869993654877,0.4608188165719322,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,NORMA_q_age,14.0,5318,352,0.0661741085769354,0.0617573597364505,0.1960227272727272,0.9482480869915424,0.2086261939924198,3.152686125720403,69.0,257.0,4709.0,283.0,6226.0,412.0,0.6705558021821111,0.6395611300342888,0.7015504743299333,0.133413806340768,2.015609721932399,0.4659639629120169,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,NORMA_q_set,14.0,5318,352,0.0661741085769354,0.065003334438759,0.1960227272727272,0.9448248086991542,0.1982083384503124,2.995255133960304,69.0,274.0,4692.0,283.0,6226.0,412.0,0.6728784141251418,0.6420661873938931,0.7036906408563905,0.133194357749848,2.0122943025957163,0.4646965113823146,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,NORMA_q_co,14.0,5318,352,0.0661741085769354,0.0811360525698559,0.1960227272727272,0.9267015706806284,0.158797507455067,2.399692430619532,69.0,364.0,4602.0,283.0,6226.0,412.0,0.6285039404312964,0.5965840848316386,0.6604237960309542,0.1159800204407235,1.7522208769993404,0.4423751266677697,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,NORMA_q_age_set_co,14.0,5318,352,0.0661741085769354,0.0780070508156727,0.1960227272727272,0.9307289569069672,0.1651671583288184,2.4959483683379213,69.0,344.0,4622.0,283.0,6226.0,412.0,0.6420563239116904,0.6097323016931707,0.6743803461302101,0.1208842263811764,1.826313397429252,0.4343944711608258,,all,all,,,,,24.0,168.0,0.8
ALT,high,0.2,PopRI,14.0,3238,242,0.0747639034627492,0.0430061491853222,0.1983471074380165,0.969626168224299,0.3349197399727341,4.479698416758115,48.0,91.0,2905.0,194.0,3812.0,285.0,0.7699149830628166,0.7371586430040802,0.802671323121553,0.2415356808676851,3.2317873332626634,0.5348337575495642,,all,all,,,,,24.0,168.0,0.8
ALT,high,0.2,PerRI,14.0,3238,242,0.0747639034627492,0.0989136461043446,0.1983471074380165,0.9095460614152204,0.1456180099476089,1.947704750597493,48.0,271.0,2725.0,194.0,3812.0,285.0,0.6754791512650477,0.6403656313195949,0.7105926712105004,0.1358277429494297,1.8173976515299732,0.5238907044916989,,all,all,,,,,24.0,168.0,0.8
