subset,analyte,method,outcome,exposure,encoding,n,n_events,level,HR,HR_lower,HR_upper,p_value,p_fdr
all,ALT,NORMA_q_age_set,mortality,first,category,14539,1802,low,0.736,0.607,0.891,0.00173,0.0033189453437768
all,ALT,NORMA_q_age_set,mortality,first,category,14539,1802,high,1.099,0.996,1.214,0.06121,0.0862806271871239
all,ALT,NORMA_334f7e21,mortality,first,binary,14539,1802,abnormal,1.026,0.934,1.127,0.59649,0.6272408140291184
all,ALT,NORMA_334f7e21,mortality,first,z,14539,1802,z,0.998,0.961,1.037,0.92444,0.9342388912111752
all,ALT,NORMA_334f7e21,mortality,first,category,14539,1802,low,0.753,0.624,0.91,0.00323,0.0059346363369872
all,ALT,NORMA_334f7e21,mortality,first,category,14539,1802,high,1.103,0.999,1.218,0.05234,0.0753920081025186
all,ALT,NORMA_q_age,mortality,first,binary,14539,1802,abnormal,1.003,0.913,1.101,0.95687,0.963164695895678
all,ALT,NORMA_q_age,mortality,first,z,14539,1802,z,1.012,0.969,1.056,0.59676,0.6420282327317832
all,ALT,NORMA_q_age,mortality,first,category,14539,1802,low,0.697,0.574,0.846,0.00025,0.0005359225999809
all,ALT,NORMA_q_age,mortality,first,category,14539,1802,high,1.091,0.988,1.205,0.08606,0.1160490872599952
all,ALT,NORMA_q_age_set_co,mortality,first,binary,14539,1802,abnormal,1.018,0.927,1.117,0.70754,0.7289830666305103
all,ALT,NORMA_q_age_set_co,mortality,first,z,14539,1802,z,0.982,0.945,1.021,0.35778,0.4001015259448442
all,ALT,NORMA_q_age_set_co,mortality,first,category,14539,1802,low,0.79,0.67,0.931,0.00483,0.0086152769813782
all,ALT,NORMA_q_age_set_co,mortality,first,category,14539,1802,high,1.103,0.998,1.218,0.05524,0.0791752123467492
all,AST,PopRI,mortality,first,binary,14865,1695,abnormal,1.711,1.554,1.884,0.0,2.1788313168284247e-27
all,AST,PopRI,mortality,first,z,14865,1695,z,1.199,1.164,1.235,0.0,7.035775979026477e-33
all,AST,PopRI,mortality,first,category,14865,1695,low,1.066,0.782,1.453,0.68604,0.7150304713278217
