analyte,method,outcome,subset,n_patients,n_events,anchor,sensitivity,specificity,ppv,n_flagged
TP,NORMA_q_age_set,mortality,pop_normal,8338.0,860.0,native,0.1430232558139534,0.8627975394490506,0.1070496083550913,1149.0
TP,NORMA_q_age_set,mortality,pop_normal,8338.0,860.0,rate_of:PerRI,0.4476744186046512,0.53276277079433,0.0992523846352152,3879.0
WBC,PerRI,mortality,pop_normal,40024.0,2858.0,native,0.477256822953114,0.536592584620352,0.073384623661699,18587.0
WBC,PerRI,mortality,pop_normal,40024.0,2858.0,rate_of:PerRI,0.477256822953114,0.536592584620352,0.073384623661699,18587.0
WBC,NORMA_q_age_set,mortality,pop_normal,40024.0,2858.0,native,0.1812456263121063,0.8724102674487435,0.0984790874524714,5260.0
WBC,NORMA_q_age_set,mortality,pop_normal,40024.0,2858.0,rate_of:PerRI,0.5178446466060181,0.5397137168379702,0.0796255447355678,18587.0
ALB,PerRI,aki,pop_normal,2433.0,495.0,native,0.5070707070707071,0.5459236326109391,0.2219274977895667,1131.0
ALB,PerRI,aki,pop_normal,2433.0,495.0,rate_of:PerRI,0.5070707070707071,0.5459236326109391,0.2219274977895667,1131.0
ALB,NORMA_q_age_set,aki,pop_normal,2433.0,495.0,native,0.0787878787878787,0.9220846233230134,0.2052631578947368,190.0
ALB,NORMA_q_age_set,aki,pop_normal,2433.0,495.0,rate_of:PerRI,0.4868686868686869,0.5407636738906089,0.2130857648099027,1131.0
ALP,PerRI,aki,pop_normal,10995.0,2238.0,native,0.5884718498659517,0.399566061436565,0.2003041825095057,6575.0
ALP,PerRI,aki,pop_normal,10995.0,2238.0,rate_of:PerRI,0.5884718498659517,0.399566061436565,0.2003041825095057,6575.0
ALP,NORMA_q_age_set,aki,pop_normal,10995.0,2238.0,native,0.260053619302949,0.7734383921434281,0.2268121590023382,2566.0
ALP,NORMA_q_age_set,aki,pop_normal,10995.0,2238.0,rate_of:PerRI,0.6242180518319929,0.4087016101404591,0.2124714828897338,6575.0
ALT,PerRI,aki,pop_normal,9500.0,1894.0,native,0.5242872228088701,0.4209834341309492,0.1839911061700945,5397.0
ALT,PerRI,aki,pop_normal,9500.0,1894.0,rate_of:PerRI,0.5242872228088701,0.4209834341309492,0.1839911061700945,5397.0
ALT,NORMA_q_age_set,aki,pop_normal,9500.0,1894.0,native,0.246040126715945,0.7799105968971864,0.2177570093457944,2140.0
ALT,NORMA_q_age_set,aki,pop_normal,9500.0,1894.0,rate_of:PerRI,0.6071805702217529,0.4416250328687878,0.2130813414860107,5397.0
AST,PerRI,aki,pop_normal,10311.0,1906.0,native,0.4926547743966422,0.4792385484830458,0.1766365688487584,5316.0
AST,PerRI,aki,pop_normal,10311.0,1906.0,rate_of:PerRI,0.4926547743966422,0.4792385484830458,0.1766365688487584,5316.0
AST,NORMA_q_age_set,aki,pop_normal,10311.0,1906.0,native,0.2240293809024134,0.8014277215942891,0.2037213740458015,2096.0
AST,NORMA_q_age_set,aki,pop_normal,10311.0,1906.0,rate_of:PerRI,0.5362014690451207,0.4891136228435455,0.192249811888638,5316.0
BUN,PerRI,aki,pop_normal,33501.0,3619.0,native,0.5017960762641613,0.4812930861388126,0.1048741048741048,17316.0
BUN,PerRI,aki,pop_normal,33501.0,3619.0,rate_of:PerRI,0.5017960762641613,0.4812930861388126,0.1048741048741048,17316.0
BUN,NORMA_q_age_set,aki,pop_normal,33501.0,3619.0,native,0.1771207515888367,0.8306003614215915,0.1123969840434858,5703.0
BUN,NORMA_q_age_set,aki,pop_normal,33501.0,3619.0,rate_of:PerRI,0.5297043382149765,0.4846730473194565,0.1107068607068607,17316.0
CA,PerRI,aki,pop_normal,34893.0,5268.0,native,0.4789293849658314,0.5493333333333333,0.1589391457729621,15874.0
CA,PerRI,aki,pop_normal,34893.0,5268.0,rate_of:PerRI,0.4789293849658314,0.5493333333333333,0.1589391457729621,15874.0
CA,NORMA_q_age_set,aki,pop_normal,34893.0,5268.0,native,0.1285117691723614,0.8853333333333333,0.1661757486499754,4074.0
CA,NORMA_q_age_set,aki,pop_normal,34893.0,5268.0,rate_of:PerRI,0.4700075930144267,0.5477468354430379,0.1559783293435807,15874.0
CL,PerRI,aki,pop_normal,44877.0,6855.0,native,0.4646243617797228,0.5095734048708642,0.1458867717112495,21832.0
CL,PerRI,aki,pop_normal,44877.0,6855.0,rate_of:PerRI,0.4646243617797228,0.5095734048708642,0.1458867717112495,21832.0
CL,NORMA_q_age_set,aki,pop_normal,44877.0,6855.0,native,0.1431072210065645,0.8780179895849771,0.1745862253069941,5619.0
CL,NORMA_q_age_set,aki,pop_normal,44877.0,6855.0,rate_of:PerRI,0.5137855579868709,0.5184366945452633,0.1613228288750458,21832.0
CO2,PerRI,aki,pop_normal,51941.0,7844.0,native,0.4331973482916879,0.5415787922080867,0.1439037818151018,23613.0
