model_type,method,outcome,subset,panel,n_test,n_events_test,concordance_test,concordance_lower,concordance_upper,time_window
penalized_cox,Cohen_m4,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5579,0.5326,0.5863,1
penalized_cox,Cohen_m4,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5579,0.5326,0.5863,14
penalized_cox,Cohen_m4,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5579,0.5326,0.5863,2
penalized_cox,Cohen_m4,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5579,0.5326,0.5863,30
penalized_cox,Cohen_m4,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5579,0.5326,0.5863,7
penalized_cox,Cohen_m4,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5579,0.5326,0.5863,all
penalized_cox,Gaussian_eb,aki,all,all,1657.0,238.0,0.5389,0.5074,0.5681,1
penalized_cox,Gaussian_eb,aki,all,all,1657.0,238.0,0.5389,0.5074,0.5681,14
penalized_cox,Gaussian_eb,aki,all,all,1657.0,238.0,0.5389,0.5074,0.5681,2
penalized_cox,Gaussian_eb,aki,all,all,1657.0,238.0,0.5389,0.5074,0.5681,30
penalized_cox,Gaussian_eb,aki,all,all,1657.0,238.0,0.5389,0.5074,0.5681,7
penalized_cox,Gaussian_eb,aki,all,all,1657.0,238.0,0.5389,0.5074,0.5681,all
penalized_cox,Gaussian_eb,aki,all_eval_pop_normal,all,1657.0,238.0,0.5389,0.5074,0.5681,1
penalized_cox,Gaussian_eb,aki,all_eval_pop_normal,all,1657.0,238.0,0.5389,0.5074,0.5681,14
penalized_cox,Gaussian_eb,aki,all_eval_pop_normal,all,1657.0,238.0,0.5389,0.5074,0.5681,2
penalized_cox,Gaussian_eb,aki,all_eval_pop_normal,all,1657.0,238.0,0.5389,0.5074,0.5681,30
penalized_cox,Gaussian_eb,aki,all_eval_pop_normal,all,1657.0,238.0,0.5389,0.5074,0.5681,7
penalized_cox,Gaussian_eb,aki,all_eval_pop_normal,all,1657.0,238.0,0.5389,0.5074,0.5681,all
penalized_cox,Gaussian_eb,mortality,all,all,1660.0,207.0,0.6779,0.6238,0.718,1
penalized_cox,Gaussian_eb,mortality,all,all,1660.0,207.0,0.6779,0.6238,0.718,14
penalized_cox,Gaussian_eb,mortality,all,all,1660.0,207.0,0.6779,0.6238,0.718,2
penalized_cox,Gaussian_eb,mortality,all,all,1660.0,207.0,0.6779,0.6238,0.718,30
penalized_cox,Gaussian_eb,mortality,all,all,1660.0,207.0,0.6779,0.6238,0.718,7
penalized_cox,Gaussian_eb,mortality,all,all,1660.0,207.0,0.6779,0.6238,0.718,all
penalized_cox,Gaussian_eb,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6779,0.6238,0.718,1
penalized_cox,Gaussian_eb,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6779,0.6238,0.718,14
penalized_cox,Gaussian_eb,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6779,0.6238,0.718,2
penalized_cox,Gaussian_eb,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6779,0.6238,0.718,30
penalized_cox,Gaussian_eb,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6779,0.6238,0.718,7
penalized_cox,Gaussian_eb,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6779,0.6238,0.718,all
penalized_cox,Gaussian_eb,prolonged_los,all,all,1657.0,292.0,0.5475,0.5086,0.5835,1
penalized_cox,Gaussian_eb,prolonged_los,all,all,1657.0,292.0,0.5475,0.5086,0.5835,14
