subset,outcome,analyte,method,n,n_events,auc,auc_lo,auc_hi,auc_base,auc_adj,auc_gain,prevalence,ap,ap_lift,delta_vs_norma,p_vs_norma
all,mortality,ALT,NORMA_q_age,12377,1660,0.5552,0.54,0.5704,0.5506,0.5768,0.0262,0.1341,0.1684,1.255,0.0012,0.471156
all,mortality,ALT,NORMA_q_age_set,12377,1660,0.554,0.5387,0.5693,0.5506,0.5756,0.025,0.1341,0.1674,1.248,,
all,mortality,ALT,NORMA_q_age_set_co,12377,1660,0.5428,0.5276,0.558,0.5506,0.5694,0.0188,0.1341,0.1607,1.198,-0.0111,0.000831
all,mortality,ALT,PerRI,12377,1660,0.5098,0.4948,0.5248,0.5506,0.5524,0.0018,0.1341,0.1401,1.044,-0.0441,1e-06
all,mortality,ALT,PopRI,12377,1660,0.5372,0.522,0.5525,0.5506,0.5695,0.0189,0.1341,0.1538,1.146,-0.0167,0.003021
all,mortality,AST,Cohen_m2,12651,1554,0.6217,0.6064,0.6369,0.526,0.6189,0.0929,0.1228,0.1838,1.496,-0.0016,0.757869
all,mortality,AST,Cohen_m3,12651,1554,0.6067,0.5911,0.6222,0.526,0.6075,0.0815,0.1228,0.1776,1.446,-0.0166,0.006753
all,mortality,AST,Cohen_m4,12651,1554,0.6081,0.5927,0.6235,0.526,0.6069,0.0809,0.1228,0.1758,1.432,-0.0151,0.025826
all,mortality,AST,Gaussian_eb,12651,1554,0.624,0.6088,0.6392,0.526,0.6192,0.0932,0.1228,0.1832,1.491,0.0008,0.867028
all,mortality,AST,Gaussian_mle,12582,1546,0.6177,0.6025,0.6329,0.5568,0.6228,0.066,0.1229,0.1783,1.451,-0.0051,0.281752
all,mortality,AST,Gaussian_trunc,12582,1546,0.6016,0.5862,0.6169,0.5568,0.6076,0.0508,0.1229,0.1688,1.374,-0.0212,0.000375
