method,state,analyte,n,coverage95,width_rel,inside_pop,n_analytes
Cohen_m4,all,PLT,38,0.4474,0.5488,1.0,
Cohen_m4,all,RBC,51,0.3725,0.7267,0.8754,
Cohen_m4,all,RDW,43,0.4186,0.4565,0.8066,
Cohen_m4,all,TBIL,54,0.5926,1.0097,0.8579,
Cohen_m4,all,TC,24,0.625,0.8733,0.7075,
Cohen_m4,all,TGL,28,0.75,1.2877,0.7017,
Cohen_m4,all,TP,24,0.3333,0.6997,1.0,
Cohen_m4,all,WBC,59,0.9492,1.5317,0.6529,
Gaussian_mle,high,A1C,29,0.069,1.0,0.9138,
Gaussian_mle,high,GLU,33,0.0,1.0,1.0,
Gaussian_mle,normal,ALB,28,0.9643,1.0173,0.9223,
Gaussian_mle,normal,ALP,31,1.0,1.212,0.8251,
Gaussian_mle,normal,ALT,24,0.9167,1.1927,0.8028,
Gaussian_mle,normal,HDL,30,0.9,1.0131,0.8821,
Gaussian_mle,normal,K,22,0.7273,1.3338,0.7498,
Gaussian_mle,normal,LDL,24,0.9583,0.6291,0.9922,
Gaussian_mle,normal,MCHC,22,0.9545,1.0,0.8841,
Gaussian_mle,normal,PLT,33,0.9697,1.0095,0.844,
Gaussian_mle,normal,RBC,25,0.76,0.9932,1.0,
Gaussian_mle,normal,RDW,28,0.8929,0.7504,0.9764,
Gaussian_mle,normal,TBIL,32,0.8125,1.2373,0.8059,
Gaussian_mle,normal,WBC,47,0.9149,1.2138,0.8147,
Gaussian_mle,all,A1C,46,0.3696,1.0,0.9138,
Gaussian_mle,all,ALB,39,0.7949,1.0438,0.8752,
Gaussian_mle,all,ALP,34,1.0,1.212,0.8251,
Gaussian_mle,all,ALT,45,0.5778,1.1617,0.8028,
Gaussian_mle,all,AST,26,0.5769,0.9301,0.8855,
Gaussian_mle,all,BUN,28,0.6786,1.0915,0.8752,
Gaussian_mle,all,CA,27,0.6667,1.0,1.0,
Gaussian_mle,all,CL,33,0.5152,1.0049,0.8862,
Gaussian_mle,all,CO2,38,0.4737,1.0,0.8698,
Gaussian_mle,all,CRE,27,0.5926,0.8998,0.8665,
Gaussian_mle,all,DBIL,27,0.4815,0.9702,0.8458,
Gaussian_mle,all,GLU,39,0.1282,1.0,1.0,
Gaussian_mle,all,HCT,22,0.5909,0.9254,0.9024,
Gaussian_mle,all,HDL,37,0.8919,1.0909,0.8678,
Gaussian_mle,all,HGB,29,0.5862,0.8279,0.8372,
Gaussian_mle,all,K,31,0.6774,1.3438,0.7442,
Gaussian_mle,all,LDL,37,0.7027,0.6827,0.9892,
Gaussian_mle,all,MCH,35,0.4571,1.1535,0.8088,
Gaussian_mle,all,MCHC,44,0.6136,0.9886,0.9139,
Gaussian_mle,all,MCV,28,0.6429,0.98,0.865,
Gaussian_mle,all,NA,25,0.72,1.2318,0.7936,
Gaussian_mle,all,PLT,38,0.8947,1.0734,0.844,
Gaussian_mle,all,RBC,51,0.4902,1.0,0.9538,
Gaussian_mle,all,RDW,43,0.6744,0.7529,0.9594,
Gaussian_mle,all,TBIL,54,0.6481,1.2321,0.8069,
Gaussian_mle,all,TC,24,0.5,0.7549,0.9562,
Gaussian_mle,all,TGL,28,0.25,0.7919,0.8787,
Gaussian_mle,all,TP,24,0.6667,1.2104,0.7125,
Gaussian_mle,all,WBC,59,0.8814,1.3031,0.7674,
Gaussian_trunc,high,A1C,29,0.2414,1.0,0.9274,
Gaussian_trunc,high,GLU,33,0.0606,1.0,1.0,
Gaussian_trunc,normal,ALB,28,0.8214,1.0274,0.7288,
Gaussian_trunc,normal,ALP,31,0.8387,4.4521,0.2246,
Gaussian_trunc,normal,ALT,24,0.5417,3.6539,0.106,
Gaussian_trunc,normal,HDL,30,0.7,1.3708,0.6846,
Gaussian_trunc,normal,K,22,0.2727,5.7369,0.0562,
Gaussian_trunc,normal,LDL,24,0.9167,0.6172,0.9781,
Gaussian_trunc,normal,MCHC,22,0.7727,1.0268,0.8045,
Gaussian_trunc,normal,PLT,33,0.6061,1.1564,0.6765,
Gaussian_trunc,normal,RBC,25,0.64,1.0,1.0,
Gaussian_trunc,normal,RDW,28,0.8929,0.737,0.9771,
Gaussian_trunc,normal,TBIL,32,0.5312,4.9105,0.0983,
Gaussian_trunc,normal,WBC,47,0.5957,4.8137,0.1224,
Gaussian_trunc,all,A1C,46,0.4348,1.0,0.9637,
Gaussian_trunc,all,ALB,39,0.6154,1.0274,0.7288,
Gaussian_trunc,all,ALP,34,0.8235,4.4521,0.2246,
Gaussian_trunc,all,ALT,45,0.3778,1.4295,0.106,
Gaussian_trunc,all,AST,26,0.4615,1.1367,0.7506,
Gaussian_trunc,all,BUN,28,0.6429,1.1833,0.6366,
Gaussian_trunc,all,CA,27,0.4444,1.0,0.9981,
Gaussian_trunc,all,CL,33,0.3939,1.0,0.8779,
Gaussian_trunc,all,CO2,38,0.5263,1.0,0.7474,
Gaussian_trunc,all,CRE,27,0.4815,0.8503,0.832,
Gaussian_trunc,all,DBIL,27,0.5185,1.1036,0.7027,
Gaussian_trunc,all,GLU,39,0.1795,1.0,1.0,
Gaussian_trunc,all,HCT,22,0.4545,0.9696,0.9043,
Gaussian_trunc,all,HDL,37,0.6486,1.4606,0.5841,
Gaussian_trunc,all,HGB,29,0.4138,0.8463,0.5204,
Gaussian_trunc,all,K,31,0.3871,5.9711,0.0562,
Gaussian_trunc,all,LDL,37,0.7027,0.6499,0.9726,
Gaussian_trunc,all,MCH,35,0.4,1.4075,0.5954,
Gaussian_trunc,all,MCHC,44,0.4773,1.0,0.8543,
Gaussian_trunc,all,MCV,28,0.5357,1.6197,0.5069,
Gaussian_trunc,all,NA,25,0.56,5.1032,0.1138,
Gaussian_trunc,all,PLT,38,0.5789,1.7444,0.5526,
Gaussian_trunc,all,RBC,51,0.451,1.0037,0.9071,
Gaussian_trunc,all,RDW,43,0.7442,0.7819,0.9389,
Gaussian_trunc,all,TBIL,54,0.537,4.9105,0.1013,
Gaussian_trunc,all,TC,24,0.5,0.7024,0.9492,
Gaussian_trunc,all,TGL,28,0.1786,0.7586,0.8576,
Gaussian_trunc,all,TP,24,0.5,3.9829,0.0796,
Gaussian_trunc,all,WBC,59,0.5932,4.8137,0.096,
Gaussian_eb,high,A1C,29,0.0,1.0,1.0,
Gaussian_eb,high,GLU,33,0.0,1.0,1.0,
Gaussian_eb,normal,ALB,28,1.0,1.0,1.0,
Gaussian_eb,normal,ALP,31,1.0,1.0,1.0,
Gaussian_eb,normal,ALT,24,1.0,1.0,1.0,
Gaussian_eb,normal,HDL,30,1.0,1.0,1.0,
Gaussian_eb,normal,K,22,1.0,1.0,1.0,
Gaussian_eb,normal,LDL,24,1.0,1.0,1.0,
Gaussian_eb,normal,MCHC,22,1.0,1.0,1.0,
Gaussian_eb,normal,PLT,33,1.0,1.0,1.0,
Gaussian_eb,normal,RBC,25,1.0,1.0,1.0,
Gaussian_eb,normal,RDW,28,1.0,1.0,1.0,
Gaussian_eb,normal,TBIL,32,1.0,1.0,1.0,
Gaussian_eb,normal,WBC,47,1.0,1.0,1.0,
Gaussian_eb,all,A1C,46,0.3696,1.0,1.0,
Gaussian_eb,all,ALB,39,0.7179,1.0,1.0,
Gaussian_eb,all,ALP,34,0.9118,1.0,1.0,
Gaussian_eb,all,ALT,45,0.5333,1.0,1.0,
Gaussian_eb,all,AST,26,0.6923,1.0,1.0,
Gaussian_eb,all,BUN,28,0.6071,1.0,1.0,
Gaussian_eb,all,CA,27,0.6667,1.0,1.0,
Gaussian_eb,all,CL,33,0.4848,1.0,1.0,
Gaussian_eb,all,CO2,38,0.4474,1.0,1.0,
Gaussian_eb,all,CRE,27,0.5926,1.0,1.0,
Gaussian_eb,all,DBIL,27,0.6667,1.0,1.0,
Gaussian_eb,all,GLU,39,0.1282,1.0,1.0,
Gaussian_eb,all,HCT,22,0.5,1.0,1.0,
Gaussian_eb,all,HDL,37,0.8108,1.0,1.0,
Gaussian_eb,all,HGB,29,0.5862,1.0,1.0,
Gaussian_eb,all,K,31,0.7097,1.0,1.0,
Gaussian_eb,all,LDL,37,0.6486,1.0,1.0,
Gaussian_eb,all,MCH,35,0.4857,1.0,1.0,
Gaussian_eb,all,MCHC,44,0.5,1.0,1.0,
Gaussian_eb,all,MCV,28,0.6786,1.0,1.0,
Gaussian_eb,all,NA,25,0.68,1.0,1.0,
Gaussian_eb,all,PLT,38,0.8684,1.0,1.0,
Gaussian_eb,all,RBC,51,0.4902,1.0,1.0,
Gaussian_eb,all,RDW,43,0.6512,1.0,1.0,
Gaussian_eb,all,TBIL,54,0.5926,1.0,1.0,
Gaussian_eb,all,TC,24,0.4583,1.0,1.0,
Gaussian_eb,all,TGL,28,0.4286,1.0,1.0,
Gaussian_eb,all,TP,24,0.625,1.0,1.0,
Gaussian_eb,all,WBC,59,0.7966,1.0,1.0,
NORMA_q_age_set,high,A1C,29,0.3448,3.4922,0.2864,
NORMA_q_age_set,high,GLU,33,0.0909,3.409,0.2933,
NORMA_q_age_set,normal,ALB,28,1.0,1.387,0.6757,
NORMA_q_age_set,normal,ALP,31,0.871,1.0853,0.8282,
NORMA_q_age_set,normal,ALT,24,0.8333,1.1322,0.7963,
