dataset,target_state,analyte,method,n,mae,mape,rmse,r2,bias,n_analytes,n_targets
chs,normal,PLT,Cohen_m4,12.0,67.69200764973958,24.55305486115359,83.61594724065718,0.1424874647678322,-8.168029378255207,,
chs,all_states,PLT,NORMA_normal,16.0,103.84013633728028,35.39731140174009,122.22506026929568,-0.1088624760031318,-55.8313436126709,,
chs,all_states,PLT,NORMA_marginal,16.0,84.19364948011128,31.32069935355093,102.63772890807468,0.2180639529785103,-37.418570911721126,,
chs,all_states,PLT,NORMA_marginal_freq,16.0,108.31128273916752,35.81346797799765,128.0467247224164,-0.2170099121868813,-66.9922087830249,,
chs,all_states,PLT,NORMA_oracle,16.0,73.28675868988037,22.13095062987605,92.39469894548375,0.3663473194303355,-19.50757213592529,,
chs,all_states,PLT,Mean,16.0,98.54796345039192,35.78733935285916,112.72474577357364,0.0568175828341149,-11.820150647335412,,
chs,all_states,PLT,Last,16.0,72.76874897003174,30.07463968310572,112.28292790458694,0.0641965872995937,-9.682502708435058,,
chs,all_states,PLT,ARIMA,16.0,124.7174131068376,44.281714013158016,159.35246876127016,-0.884841169649367,-14.259925253455831,,
chs,all_states,PLT,PopRI,16.0,104.1125,35.06623419383495,121.05111683706184,-0.0876640351341855,-34.36625,,
chs,all_states,PLT,PerRI,16.0,98.54796875,35.78734048556422,112.72474643418754,0.0568175717792325,-11.820156250000004,,
chs,all_states,PLT,Gaussian_mle,16.0,100.91086979166668,37.060036767532345,117.64864893132751,-0.0273798774449181,-18.81456770833332,,
chs,all_states,PLT,Gaussian_trunc,16.0,379.3227975809953,144.8188068598613,577.7641753895143,-23.77755143218898,286.38998082281284,,
chs,all_states,PLT,Cohen_m2,16.0,98.16917469024658,32.87768240296462,116.74123611004843,-0.0115928289026159,-40.22675128936768,,
chs,all_states,PLT,Cohen_m3,16.0,100.58239269256592,33.61280037497821,116.68760138273402,-0.0106635250210447,-39.73827739715576,,
chs,all_states,PLT,Cohen_m4,16.0,91.51647445678712,31.34116787386872,109.768549825711,0.1056386550520961,-29.576153717041016,,
chs,normal,RBC,NORMA_normal,10.0,0.4078461742401122,7.672706708301765,0.5005668927005499,-0.9382345838971188,-0.1237588520050048,,
chs,normal,RBC,NORMA_marginal,10.0,0.7261231215338373,13.412527524102696,0.9382351778686872,-5.809347821639651,-0.589012572245142,,
chs,normal,RBC,NORMA_marginal_freq,10.0,0.7208254360549473,13.494091678432069,0.8503569072295808,-4.593512095617581,-0.7134837931523286,,
chs,normal,RBC,NORMA_oracle,10.0,0.4078461742401122,7.672706708301765,0.5005668927005499,-0.9382345838971188,-0.1237588520050048,,
chs,normal,RBC,Mean,10.0,0.4036904188545923,7.64870094245044,0.5214204235532549,-1.1030915103998875,-0.1472238354701844,,
chs,normal,RBC,Last,10.0,0.8549999647140503,16.02122404262878,1.029451289459959,-7.197731654528086,-0.5470000143051147,,
chs,normal,RBC,ARIMA,10.0,0.8649105585719221,16.261247740930312,1.040938731093696,-7.381706131771979,-0.2123235228109283,,
chs,normal,RBC,PopRI,10.0,0.2739999999999999,5.314060411643841,0.3375203697556637,0.1187846158606392,-0.0219999999999997,,
chs,normal,RBC,PerRI,10.0,5.15698522,99.90226560463108,5.169510462253621,-205.7192550771192,-5.15698522,,
chs,normal,RBC,Gaussian_mle,10.0,0.3336333333333333,6.398618295292592,0.3736004624669989,-0.0796845938577583,-0.0436,,
