analyte,method,rr,auc,auc_lo,auc_hi,age_band,sex,direction,auc_within_position,auprc_norm,auc_q25,auc_within_position_q25,auprc_norm_q25,rr_q25,auc_q75,auc_within_position_q75,auprc_norm_q75,rr_q75,rr_lo,rr_hi
WBC,Gaussian_eb,1.37,0.561,0.533,0.59,all,all,endpoints,,,,,,,,,,,,
WBC,Gaussian_mle,1.57,,,,all,all,endpoints,,,,,,,,,,,,
WBC,Gaussian_trunc,1.21,,,,all,all,endpoints,,,,,,,,,,,,
WBC,NORMA,1.92,0.628,0.6,0.656,all,all,endpoints,,,,,,,,,,,,
WBC,PerRI,1.23,0.532,0.503,0.561,all,all,endpoints,,,,,,,,,,,,
WBC,PopRI,5.82,0.739,0.713,0.765,all,all,endpoints,,,,,,,,,,,,
median,Gaussian_eb,1.5,0.577,,,all,all,all,0.407,1.3,0.556,0.345,1.23,1.28,0.61,0.431,1.52,1.81,,
median,Gaussian_mle,1.59,0.598,,,all,all,all,0.418,1.43,0.567,0.361,1.28,1.43,0.628,0.439,1.59,2.06,,
median,Gaussian_trunc,1.26,0.531,,,all,all,all,0.401,1.18,0.499,0.338,1.07,1.12,0.553,0.429,1.4,1.55,,
median,NORMA,1.95,0.625,,,all,all,all,0.381,1.62,0.59,0.347,1.42,1.61,0.654,0.422,2.01,2.67,,
median,PerRI,1.17,0.538,,,all,all,all,0.397,1.15,0.515,0.355,1.05,1.03,0.568,0.43,1.22,1.29,,
median,PopRI,4.11,0.724,,,all,all,all,0.554,2.99,0.689,0.536,2.22,3.05,0.798,0.57,4.98,7.55,,
median,Gaussian_eb,1.76,,,,20.0,all,endpoints,,,,,,,,,,,1.58,1.97
median,Gaussian_mle,1.83,,,,20.0,all,endpoints,,,,,,,,,,,1.64,2.04
median,Gaussian_trunc,1.55,,,,20.0,all,endpoints,,,,,,,,,,,1.38,1.73
median,NORMA,2.0,,,,20.0,all,endpoints,,,,,,,,,,,1.79,2.23
median,PerRI,1.32,,,,20.0,all,endpoints,,,,,,,,,,,1.18,1.47
median,PopRI,3.69,,,,20.0,all,endpoints,,,,,,,,,,,3.32,4.1
median,Gaussian_eb,1.73,,,,30.0,all,endpoints,,,,,,,,,,,1.54,1.95
median,Gaussian_mle,1.83,,,,30.0,all,endpoints,,,,,,,,,,,1.62,2.06
median,Gaussian_trunc,1.44,,,,30.0,all,endpoints,,,,,,,,,,,1.28,1.62
median,NORMA,2.04,,,,30.0,all,endpoints,,,,,,,,,,,1.81,2.29
median,PerRI,1.26,,,,30.0,all,endpoints,,,,,,,,,,,1.12,1.42
median,PopRI,4.07,,,,30.0,all,endpoints,,,,,,,,,,,3.63,4.56
median,Gaussian_eb,1.55,,,,40.0,all,endpoints,,,,,,,,,,,1.4,1.72
median,Gaussian_mle,1.78,,,,40.0,all,endpoints,,,,,,,,,,,1.6,1.97
median,Gaussian_trunc,1.3,,,,40.0,all,endpoints,,,,,,,,,,,1.17,1.44
median,NORMA,1.99,,,,40.0,all,endpoints,,,,,,,,,,,1.79,2.21
median,PerRI,1.3,,,,40.0,all,endpoints,,,,,,,,,,,1.17,1.45
median,PopRI,4.51,,,,40.0,all,endpoints,,,,,,,,,,,4.08,4.98
median,Gaussian_eb,1.41,,,,50.0,all,endpoints,,,,,,,,,,,1.3,1.53
median,Gaussian_mle,1.57,,,,50.0,all,endpoints,,,,,,,,,,,1.45,1.7
median,Gaussian_trunc,1.21,,,,50.0,all,endpoints,,,,,,,,,,,1.11,1.31
median,NORMA,1.94,,,,50.0,all,endpoints,,,,,,,,,,,1.79,2.1
median,PerRI,1.14,,,,50.0,all,endpoints,,,,,,,,,,,1.05,1.24
median,PopRI,4.55,,,,50.0,all,endpoints,,,,,,,,,,,4.21,4.92
median,Gaussian_eb,1.46,,,,60.0,all,endpoints,,,,,,,,,,,1.34,1.58
median,Gaussian_mle,1.64,,,,60.0,all,endpoints,,,,,,,,,,,1.51,1.78
median,Gaussian_trunc,1.24,,,,60.0,all,endpoints,,,,,,,,,,,1.14,1.34
median,NORMA,1.97,,,,60.0,all,endpoints,,,,,,,,,,,1.82,2.14
median,PerRI,1.11,,,,60.0,all,endpoints,,,,,,,,,,,1.02,1.2
median,PopRI,4.24,,,,60.0,all,endpoints,,,,,,,,,,,3.92,4.59
median,Gaussian_eb,1.61,,,,70.0,all,endpoints,,,,,,,,,,,1.45,1.78
median,Gaussian_mle,1.79,,,,70.0,all,endpoints,,,,,,,,,,,1.61,1.98
median,Gaussian_trunc,1.34,,,,70.0,all,endpoints,,,,,,,,,,,1.21,1.48
median,NORMA,2.09,,,,70.0,all,endpoints,,,,,,,,,,,1.89,2.31
median,PerRI,1.19,,,,70.0,all,endpoints,,,,,,,,,,,1.07,1.32
median,PopRI,4.15,,,,70.0,all,endpoints,,,,,,,,,,,3.76,4.58
median,Gaussian_eb,1.49,,,,80.0,all,endpoints,,,,,,,,,,,1.18,1.87
median,Gaussian_mle,1.57,,,,80.0,all,endpoints,,,,,,,,,,,1.25,1.97
median,Gaussian_trunc,1.32,,,,80.0,all,endpoints,,,,,,,,,,,1.05,1.66
median,NORMA,1.73,,,,80.0,all,endpoints,,,,,,,,,,,1.38,2.18
median,PerRI,1.09,,,,80.0,all,endpoints,,,,,,,,,,,0.861,1.37
median,PopRI,3.3,,,,80.0,all,endpoints,,,,,,,,,,,2.65,4.11
