subset,analyte,method,outcome,exposure,encoding,level,n,n_events,HR,HR_lower,HR_upper,p_value,p_fdr
all,CA,NORMA,ckd,first,binary,abnormal,18423.0,3523.0,1.79,1.61,2.0,6.865195118471171e-26,1.447257349299328e-25
all,CL,PopRI,ckd,first,binary,abnormal,852.0,190.0,1.22,0.68,2.18,0.5034304168179076,0.5034304168179076
all,CL,PerRI,ckd,first,binary,abnormal,852.0,190.0,1.45,0.63,3.31,0.3799628561857283,0.3848974387335949
all,CL,NORMA,ckd,first,binary,abnormal,852.0,190.0,1.54,0.82,2.88,0.1778699837436349,0.1849847830933803
all,CRE,PopRI,ckd,first,binary,abnormal,36021.0,6180.0,3.85,3.57,4.15,6.144880504617849e-270,2.3965033968009612e-268
all,CRE,PerRI,ckd,first,binary,abnormal,36021.0,6180.0,4.29,3.67,5.01,3.86968385902384e-75,5.030589016730992e-74
all,CRE,NORMA,ckd,first,binary,abnormal,36021.0,6180.0,12.73,11.23,14.42,0.0,0.0
all,GLU,PopRI,ckd,first,binary,abnormal,35784.0,5978.0,2.45,1.97,3.04,5.633923561001397e-16,9.765467505735757e-16
all,GLU,PerRI,ckd,first,binary,abnormal,35784.0,5978.0,1.3,1.12,1.51,0.0005769743671561,0.0006429142948311
all,GLU,NORMA,ckd,first,binary,abnormal,35784.0,5978.0,2.85,2.25,3.62,5.9630861943513856e-18,1.134440788193678e-17
all,HCT,PopRI,ckd,first,binary,abnormal,39002.0,6064.0,2.5,2.19,2.87,2.9055781128603838e-40,1.0792147276338573e-39
all,HCT,PerRI,ckd,first,binary,abnormal,39002.0,6064.0,1.72,1.47,2.0,5.02415586728598e-12,7.394040710345404e-12
all,HCT,NORMA,ckd,first,binary,abnormal,39002.0,6064.0,2.89,2.43,3.45,1.7008954873772512e-32,4.9136980746453925e-32
all,HDL,PopRI,ckd,first,binary,abnormal,25371.0,4408.0,1.89,1.71,2.09,1.6830914079914708e-35,5.470047075972281e-35
all,HDL,PerRI,ckd,first,binary,abnormal,25371.0,4408.0,1.73,1.44,2.08,5.125224870704071e-09,6.662792331915292e-09
all,HDL,NORMA,ckd,first,binary,abnormal,25371.0,4408.0,2.14,1.88,2.45,2.021337907008882e-29,4.7777077802028126e-29
all,HGB,PopRI,ckd,first,binary,abnormal,38986.0,6066.0,2.76,2.47,3.09,1.2011079982970018e-70,1.3383774838166592e-69
all,HGB,PerRI,ckd,first,binary,abnormal,38986.0,6066.0,1.6,1.4,1.82,2.181639963383472e-12,3.272459945075208e-12
all,HGB,NORMA,ckd,first,binary,abnormal,38986.0,6066.0,2.96,2.56,3.42,7.770754557005228e-49,4.0407923696427187e-48
all,K,PopRI,ckd,first,binary,abnormal,30872.0,5582.0,2.54,2.32,2.79,2.5358917753125605e-87,3.9559911694875945e-86
all,K,PerRI,ckd,first,binary,abnormal,30872.0,5582.0,2.0,1.77,2.25,1.0011770623829333e-29,2.5190906730925417e-29
all,K,NORMA,ckd,first,binary,abnormal,30872.0,5582.0,2.9,2.57,3.27,2.9711106938401184e-67,2.5749626013281024e-66
all,LDL,PopRI,ckd,first,binary,abnormal,29053.0,5114.0,0.93,0.86,1.0,0.0592724910575932,0.0624764094931388
all,LDL,PerRI,ckd,first,binary,abnormal,29053.0,5114.0,1.28,1.14,1.43,1.9581234406176287e-05,2.3141458843662885e-05
all,LDL,NORMA,ckd,first,binary,abnormal,29053.0,5114.0,1.4,1.28,1.54,9.851332708910057e-13,1.5066744143038909e-12
all,MCH,PopRI,ckd,first,binary,abnormal,35157.0,5576.0,1.79,1.62,1.97,1.8642982942839643e-31,5.193402391219615e-31
all,MCH,PerRI,ckd,first,binary,abnormal,35157.0,5576.0,1.76,1.54,2.02,3.1423001715784763e-16,5.570441213252754e-16
all,MCH,NORMA,ckd,first,binary,abnormal,35157.0,5576.0,2.23,1.88,2.63,7.625933046278667e-21,1.525186609255733e-20
all,MCHC,PopRI,ckd,first,binary,abnormal,38973.0,6072.0,2.61,1.57,4.34,0.0002168582207189,0.0002487491355305
all,MCHC,PerRI,ckd,first,binary,abnormal,38973.0,6072.0,1.6,1.44,1.79,2.495414521398391e-17,4.634341254025584e-17
all,MCHC,NORMA,ckd,first,binary,abnormal,38973.0,6072.0,2.27,1.44,3.56,0.0003846333013491,0.0004348028623946
all,MCV,PopRI,ckd,first,binary,abnormal,38750.0,6045.0,1.68,1.57,1.8,4.74044342208376e-50,2.6411041923038094e-49
all,MCV,PerRI,ckd,first,binary,abnormal,38750.0,6045.0,1.52,1.34,1.71,1.6771041888644857e-11,2.3359665487755337e-11
all,MCV,NORMA,ckd,first,binary,abnormal,38750.0,6045.0,2.06,1.82,2.34,1.7887160017200108e-29,4.3599952541925264e-29
all,MPV,PopRI,ckd,first,binary,abnormal,35880.0,5717.0,1.38,1.29,1.48,3.965124271241471e-20,7.731992328920869e-20
all,MPV,PerRI,ckd,first,binary,abnormal,35880.0,5717.0,1.3,1.18,1.44,2.40643578778352e-07,2.932843616361165e-07
all,NA,PopRI,ckd,first,binary,abnormal,31093.0,5620.0,2.03,1.88,2.2,8.914107143857679e-70,8.691254465261239e-69
all,NA,PerRI,ckd,first,binary,abnormal,31093.0,5620.0,1.62,1.43,1.85,2.0761454104618138e-13,3.2387868403204294e-13
all,NA,NORMA,ckd,first,binary,abnormal,31093.0,5620.0,2.06,1.88,2.24,8.242350531691455e-59,5.357527845599446e-58
all,PLT,PopRI,ckd,first,binary,abnormal,38938.0,6057.0,1.75,1.63,1.86,5.048772571983824e-62,3.5800387328612575e-61
